MANUFACTURER,MANUFACTURER IMG,Brand,Brand IMG,Line,Cigar,Cigar IMG,Vitola,LENGTH,RG,SHAPE,WRAPPER,BINDER,FILLER,ORIGIN,WRAPPER SHADE,STRENGTH,Box Pressed,Tubo,F/S,TIN,Pack,Barber,FAVORITE,Cigar MSRP,Box MSRP,Box Count,Inventory,Keystone1,Box Cost,Cigar Cost,Net,PRODUCT #,Master Case
Drew Estate,img/icons/brands/drewestate.svg,Pappy Van Winkle,img/icons/brands/pappyvanwinkle.svg,Pappy Van Winkle,Flying Pig,,Perfecto,4.00,60,Perfecto,"Mexican San Andreas, USA",Nicaragua,"Nicaragua, USA",Nicaragua,Mixed,Medium-Full,,,,,,,,,,,89,,,,,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Limited Cameroon Edition,Limited Cameroon Edition Petit Corona,,Petit Corona,4.50,44,Parejo,,,,,,,,,,,,,,,,10,89,10.00,45.00,4.50,5.50,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Tubo,,Toro,6.00,50,Parejo,,,,,,,,Tubo,,,,,,,,12,89,12.50,69.00,5.75,6.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Inmenso 70,Inmenso 70 Maduro Churchill,,Churchill,7.00,70,Parejo,,,,,,,,,,,,,,,,16,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Inmenso 70,Inmenso 70 Sungrown Churchill,,Churchill,7.00,70,Parejo,,,,,,,,,,,,,,,,16,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Inmenso 70,Inmenso 70 Maduro Toro,,Toro,6.00,70,Parejo,,,,,,,,,,,,,,,,16,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Inmenso 70,Inmenso 70 Sungrown Toro,,Toro,6.00,70,Parejo,,,,,,,,,,,,,,,,16,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Connecticut Belicoso,,Belicoso,6.00,54,Belicoso,,,,,,,,,,,,,,,,24,89,11.25,123.00,5.13,6.13,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Maduro Belicoso,,Belicoso,6.00,54,Belicoso,,,,,,,,,,,,,,,,24,89,11.25,123.00,5.13,6.13,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Sungrown Belicoso,,Belicoso,6.00,54,Belicoso,,,,,,,,,,,,,,,,24,89,11.25,123.00,5.13,6.13,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Corona Grande,,Corona Gorda,6.50,48,Parejo,,,,,,,,,,,,,,,,24,89,12.75,141.00,5.88,6.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Corona Grande ,,Corona Gorda,6.50,48,Parejo,,,,,,,,,,,,,,,,24,89,12.75,141.00,5.88,6.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Corona Grande,,Corona Gorda,6.50,48,Parejo,,,,,,,,,,,,,,,,24,89,12.75,141.00,5.88,6.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Corona Grande ,,Corona Gorda,6.50,48,Parejo,,,,,,,,,,,,,,,,24,89,12.75,141.00,5.88,6.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Robusto,,Robusto Gordo,5.00,56,Parejo,,,,,,,,,,,,,,,,24,89,13.00,144.00,6.00,7.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Robusto,,Robusto Gordo,5.00,56,Parejo,,,,,,,,,,,,,,,,24,89,13.00,144.00,6.00,7.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Epicure 6x56,,Toro Gordo,6.00,56,Parejo,,,,,,,,,,,,,,,,24,89,13.50,150.00,6.25,7.25,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Gordo,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,24,89,14.50,162.00,6.75,7.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Gordo,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,24,89,14.50,162.00,6.75,7.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Churchill,,Churchill,7.00,56,Parejo,,,,,,,,,,,,,,,,24,89,15.00,168.00,7.00,8.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Churchill,,Churchill,7.00,56,Parejo,,,,,,,,,,,,,,,,24,89,15.00,168.00,7.00,8.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Habano Bourbon-Barrel Aged,Habano BBA Churchill,,Churchill,7.00,54,Parejo,,,,,,,,,,,,,,,,24,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Habano Bourbon-Barrel Aged,Habano BBA Gordo,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,24,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Habano Bourbon-Barrel Aged,Habano BBA Robusto,,Robusto                            ,5.00,54,Parejo,,,,,,,,,,,,,,,,24,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Habano Bourbon-Barrel Aged,Habano BBA Epicure,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,,,,,,24,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Connecticut Robusto,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,24,89,10.50,114.00,4.75,5.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Maduro Robusto,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,24,89,10.50,114.00,4.75,5.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Sungrown Robusto,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,24,89,10.50,114.00,4.75,5.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Connecticut Gordito,,Short Gordo,4.50,60,Parejo,,,,,,,,,,,,,,,,24,89,10.75,117.00,4.88,5.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Maduro Gordito,,Short Gordo,4.50,60,Parejo,,,,,,,,,,,,,,,,24,89,10.75,117.00,4.88,5.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Sungrown Gordito,,Short Gordo,4.50,60,Parejo,,,,,,,,,,,,,,,,24,89,10.75,117.00,4.88,5.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Sungrown Toro,,Cigarillo,6.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.00,120.00,5.00,6.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Connecticut Toro,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.00,120.00,5.00,6.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Maduro Toro,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.00,120.00,5.00,6.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Connecticut Churchill,,Churchill,7.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.50,126.00,5.25,6.25,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Maduro Churchill,,Churchill,7.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.50,126.00,5.25,6.25,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Lot 23,Lot 23 Sungrown Churchill,,Churchill,7.00,50,Parejo,,,,,,,,,,,,,,,,24,89,11.50,126.00,5.25,6.25,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,20th Anniversary,20th Anniversary Torpedo,,Torpedo,6.50,54,Torpedo,,,,,,,,,,,,,,,,24,89,14.00,156.00,6.50,7.50,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Habano Bourbon-Barrel Aged,Habano BBA Torpedo,,Torpedo,6.50,54,Torpedo,,,,,,,,,,,,,,,,24,89,1.00,,0.00,1.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Figurado,,Figurado,4.75,56,Figurado,,,,,,,,,,,,,,,,25,89,11.25,128.13,5.13,6.13,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Maduro,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.00,75.00,3.00,4.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Sungrown,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.00,75.00,3.00,4.00,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Maduro,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.10,76.25,3.05,4.05,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Sungrown,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.10,76.25,3.05,4.05,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Maduro,,Churchill,7.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.20,77.50,3.10,4.10,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Sungrown,,Churchill,7.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.20,77.50,3.10,4.10,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Puritos (5x5 Tins),,Cigarillo,4.00,4 x 38,Parejo,,,,,,,,,,Tin,,,,,,25,89,6.50,68.75,2.75,3.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Corona Extra,,Corona Extra,5.63,46,Parejo,,,,,,,,,,,,,,,,25,89,11.75,134.38,5.38,6.38,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Robusto,,Robusto,5.00,54,Parejo,,,,,,,,,,,,,,,,25,89,12.25,140.63,5.63,6.63,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Epicure 6x54,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,,,,,,25,89,12.75,146.88,5.88,6.88,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Churchill,,Churchill,7.00,54,Parejo,,,,,,,,,,,,,,,,25,89,13.25,153.13,6.13,7.13,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Super Toro 6x60,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,25,89,13.75,159.38,6.38,7.38,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Maduro,,Torpedo,6.50,54,Torpedo,,,,,,,,,,,,,,,,25,89,7.30,78.75,3.15,4.15,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Fresco,Fresco Sungrown,,Torpedo,6.50,54,Torpedo,,,,,,,,,,,,,,,,25,89,7.30,78.75,3.15,4.15,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Reserve 10th Anniversary Torpedo,,Torpedo,7.00,54,Torpedo,,,,,,,,,,,,,,,,25,89,13.50,156.25,6.25,7.25,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Reserve 10th Anniversary,Puritos (50 ct boxes),,Cigarillo,4.00,4 x 38,Parejo,,,,,,,,,,,,,,,,50,89,6.50,137.50,2.75,3.75,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Humidified Bags,Champagne 4-Pack Bags,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,,,,,,1 (4 sticks),89,,20.50,,,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Humidified Bags,Sungrown Fresh Pack,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,Pack,,,,,1 (4 sticks),89,,20.50,,,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Humidified Bags,Maduro Fresh Pack,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,Pack,,,,,1 (4 sticks),89,,20.50,,,,
Perdomo,img/icons/brands/perdomo.svg,Perdomo,img/icons/brands/perdomo.svg,Humidified Bags,Connecticut Fresh Pack,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,Pack,,,,,1 (4 sticks),89,,20.50,,,,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,London Club EMS,,Petit Corona,5.00,40,Parejo,,,,,,,,,,,,,,,,25,89,7.04,75.50,3.02,4.02,50309,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Elites EMS,,Corona,5.25,45,Parejo,,,,,,,,,,,,,,,,25,89,7.54,81.75,3.27,4.27,50299,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Punch EMS,,Corona,6.25,44,Parejo,,,,,,,,,,,,,,,,25,89,11.10,126.25,5.05,6.05,50328,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,After Dinner EMS,,Corona Gorda,7.25,45,Parejo,,,,,,,,,,,,,,,,25,89,11.22,127.75,5.11,6.11,50242,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Pitas EMS,,Toro,6.12,50,Parejo,,,,,,,,,,,,,,,,25,89,12.20,140.00,5.60,6.60,50313,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Double Corona EMS,,Double Corona,6.75,48,Parejo,,,,,,,,,,,,,,,,25,89,12.46,143.25,5.73,6.73,50294,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Magnum EMS,,Robusto Gordo,5.25,54,Parejo,,,,,,,,,,,,,,,,25,89,13.06,150.75,6.03,7.03,53851,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Presidente EMS,,Gigante,8.50,52,Parejo,,,,,,,,,,,,,,,,25,89,15.70,183.75,7.35,8.35,50323,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro,Punch Gran Puro Santa Rita,,Robusto,4.50,52,Parejo,,,,,,,,,,,,,,,,25,89,11.70,133.75,5.35,6.35,53718,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro,Pico Bonito,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,25,89,13.20,152.50,6.10,7.10,53719,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro,Rancho,,Robusto Gordo,5.50,54,Parejo,,,,,,,,,,,,,,,,25,89,13.20,152.50,6.10,7.10,53717,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro,Sierra,,Corona Extra,6.50,48,Parejo,,,,,,,,,,,,,,,,25,89,13.20,152.50,6.10,7.10,53720,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster,Robusto,,Robusto,4.50,52,Parejo,,,,,,,,,,,,,,,,25,89,6.68,71.00,2.84,3.84,55985,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster,Toro,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.38,79.75,3.19,4.19,55986,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Maduro,Robusto,,Robusto,5.00,52,Parejo,,,,,,,,,,,,,,,,25,89,6.68,71.00,2.84,3.84,56109,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Maduro,Toro,,Toro,6.00,50,Parejo,,,,,,,,,,,,,,,,25,89,7.16,77.00,3.08,4.08,56110,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Shade,Robusto,,Robusto,5.50,50,Parejo,,,,,,,,,,,,,,,,25,89,6.44,68.00,2.72,3.72,56291,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Shade,Toro,,Toro,6.00,52,Parejo,,,,,,,,,,,,,,,,25,89,7.14,76.75,3.07,4.07,56292,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,,Café Royales NAT Tubo,,Corona Extra,5.62,44,Parejo,,,,,,,,Tubo,,,,,,,,8,89,12.46,45.84,5.73,6.73,50246,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,,Champions,,Figurado,4.50,60,Figurado,,,,,,,,,,,,,FAV,,,25,89,11.70,133.75,5.35,6.35,53386,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Deluxe,Chateau L EMS,,Gigante,7.25,54,Parejo,,,,,,,,,,,,,,,,25,89,17.20,202.50,8.10,9.10,50255,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Deluxe,Chateau L MAD,,Gigante,7.25,54,Parejo,,,,,,,,,,,,,,,,25,89,17.20,202.50,8.10,9.10,50256,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Deluxe,Punch Deluxe Royal Coronations EMS Tubo,,Corona,5.25,44,Parejo,,,,,,,,Tubo,,,,,,,,30,89,14.06,195.90,6.53,7.53,50268,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,Brute,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,20,89,11.96,109.60,5.48,6.48,56085,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,Gusto Tubo,,Robusto,5.00,52,Parejo,,,,,,,,Tubo,,,,,,,,20,89,12.32,113.20,5.66,6.66,56088,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,El Diablo,,Gigante,6.50,66,Parejo,,,,,,,,,,,,,,,,20,89,12.96,119.60,5.98,6.98,55866,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,Stump Figurado,,Figurado,4.50,60,Figurado,,,,,,,,,,,,,,,,25,89,10.86,123.25,4.93,5.93,55865,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,Punch Diablo Scamp,,Toro,6.12,50,Parejo,,,,,,,,,,,,,,,,25,89,10.86,123.25,4.93,5.93,55843,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Diablo,Diabolus,,Robusto Gordo,5.25,54,Parejo,,,,,,,,,,,,,,,,25,89,11.96,137.00,5.48,6.48,55844,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Grandote MM,,Gordo,5.88,60,Parejo,,,,,Maduro,,,,,,,,,,,20,89,14.68,136.80,6.84,7.84,56060,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Champions MM,,Figurado,4.50,60,Figurado,,,,,Maduro,,,,,,,,FAV,,,25,89,11.70,133.75,5.35,6.35,56064,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Elites MM,,Corona,5.25,45,Parejo,,,,,Maduro,,,,,,,,,,,25,89,7.54,81.75,3.27,4.27,50298,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Punch After Dinner MM,,Corona Gorda,7.25,45,Parejo,,,,,Maduro,,,,,,,,,,,25,89,11.22,127.75,5.11,6.11,50244,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Pitas  MM,,Toro,6.12,50,Parejo,,,,,Maduro,,,,,,,,,,,25,89,12.20,140.00,5.60,6.60,50316,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Magnum MM,,Robusto Gordo,5.25,54,Parejo,,,,,Maduro,,,,,,,,,,,25,89,13.06,150.75,6.03,7.03,53855,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Double Maduro,Rothschilds Cello MM,,Rothschild,4.50,50,Parejo,,,,,Maduro,,,,,,,,,,,50,89,9.26,206.50,4.13,5.13,50341,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Gusto Tubo EMS Tubo,,Robusto,5.00,52,Parejo,,,,,,,,Tubo,,,,,,,,20,89,13.08,120.80,6.04,7.04,54044,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Grandote EMS,,Gordo,5.88,60,Parejo,,,,,,,,,,,,,,,,20,89,14.68,136.80,6.84,7.84,56045,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,EMS,Rothschilds Cello EMS,,Rothschild,4.50,50,Parejo,,,,,,,,,,,,,,,,50,89,9.26,206.50,4.13,5.13,50334,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Golden Era,Robusto,,Robusto,5.00,50,Parejo,,,,,,,,,,,,,,,,20,89,11.42,104.20,5.21,6.21,56270,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Golden Era,Toro,,Toro,6.00,52,Parejo,,,,,,,,,,,,,,,,20,89,11.92,109.20,5.46,6.46,56271,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Golden Era,Churchill,,Churchill,7.00,48,Parejo,,,,,,,,,,,,,,,,20,89,12.42,114.20,5.71,6.71,56272,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Golden Era,Lancero,,Lancero,7.00,38,Parejo,,,,,,,,,,,,,,,,20,89,12.42,114.20,5.71,6.71,56268,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro,Sesenta,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,20,89,13.44,124.40,6.22,7.22,56059,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro Nicaragua,Robusto,,Robusto,4.88,48,Parejo,,,,,,,,,,,,,,,,20,89,9.46,84.60,4.23,5.23,55603,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro Nicaragua,Toro,,Toro Gordo,6.00,54,Parejo,,,,,,,,,,,,,,,,20,89,10.56,95.60,4.78,5.78,55604,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro Nicaragua,Rancho,,Robusto Gordo,5.50,54,Parejo,,,,,,,,,,,,,,,,20,89,10.86,98.60,4.93,5.93,55602,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Gran Puro Nicaragua,Double Corona,,Double Corona,7.50,54,Parejo,,,,,,,,,,,,,,,,20,89,11.26,102.60,5.13,6.13,55605,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Grand Cru,Punch Grand Cru No. II EMS,,Toro Gordo,6.12,54,Parejo,,,,,,,,,,,,,,,,20,89,17.30,163.00,8.15,9.15,50277,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Grand Cru,Punch Grand Cru No. II MAD,,Toro Gordo,6.12,54,Parejo,,,,,,,,,,,,,,,,20,89,17.30,163.00,8.15,9.15,52617,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster,Stubby,,Short Gordo,4.50,60,Parejo,,,,,,,,,,,,,,,,20,89,6.52,55.20,2.76,3.76,56213,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster,Gordo,,Gordo,6.25,60,Parejo,,,,,,,,,,,,,,,,20,89,7.98,69.80,3.49,4.49,55987,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Maduro,Stubby,,Short Gordo,4.50,60,Parejo,,,,,,,,,,,,,,,,20,89,6.52,55.20,2.76,3.76,56285,
General Cigar Co.,img/icons/brands/generalcigarco.svg,Punch,img/icons/brands/punch.svg,Knuckle Buster Maduro,Gordo,,Gordo,6.00,60,Parejo,,,,,,,,,,,,,,,,20,89,7.66,66.60,3.33,4.33,56111,
